Date,Lake_mean_cells,Lake_max_cells
4/5/2010 0:00,0,0
4/12/2010 0:00,0,0
4/19/2010 0:00,0,0
4/26/2010 0:00,0,0
5/3/2010 0:00,0,0
5/10/2010 0:00,0,0
5/17/2010 0:00,0,0
5/24/2010 0:00,0,0
5/31/2010 0:00,0,0
6/7/2010 0:00,0,0
6/14/2010 0:00,0,0
6/21/2010 0:00,0,0
6/28/2010 0:00,0,0
7/5/2010 0:00,0,0
7/13/2010 0:00,156.5,313
7/19/2010 0:00,300,320
7/26/2010 0:00,357.5,385
8/2/2010 0:00,282.5,295
8/9/2010 0:00,318.5,337
8/16/2010 0:00,287.5,310
8/23/2010 0:00,292.5,295
8/30/2010 0:00,330,340
9/6/2010 0:00,532.5,600
9/13/2010 0:00,480,490
9/20/2010 0:00,480,485
9/27/2010 0:00,352.5,385
10/4/2010 0:00,322.5,370
10/11/2010 0:00,190,220
10/18/2010 0:00,280,300
10/25/2010 0:00,245,270
11/1/2010 0:00,235,240
11/8/2010 0:00,227.5,230
11/15/2010 0:00,230,240
11/22/2010 0:00,150,165
11/29/2010 0:00,0,0
4/4/2011 0:00,0,0
4/11/2011 0:00,0,0
4/18/2011 0:00,0,0
4/25/2011 0:00,0,0
5/2/2011 0:00,0,0
5/9/2011 0:00,0,0
5/16/2011 0:00,0,0
5/23/2011 0:00,0,0
5/30/2011 0:00,0,0
6/7/2011 0:00,0,0
6/13/2011 0:00,0,0
6/20/2011 0:00,0,0
6/27/2011 0:00,0,0
7/4/2011 0:00,0,0
7/11/2011 0:00,0,0
7/18/2011 0:00,0,0
7/25/2011 0:00,0,0
8/1/2011 0:00,0,0
8/8/2011 0:00,0,0
8/16/2011 0:00,0,0
8/22/2011 0:00,0,0
8/29/2011 0:00,337.5,454
9/5/2011 0:00,0,0
9/14/2011 0:00,0,0
9/19/2011 0:00,0,0
9/26/2011 0:00,0,0
10/4/2011 0:00,0,0
10/10/2011 0:00,0,0
10/17/2011 0:00,0,0
10/24/2011 0:00,0,0
10/31/2011 0:00,0,0
11/7/2011 0:00,0,0
11/14/2011 0:00,0,0
11/21/2011 0:00,0,0
11/28/2011 0:00,0,0
4/2/2012 0:00,0,0
4/9/2012 0:00,0,0
4/16/2012 0:00,0,0
4/23/2012 0:00,0,0
4/30/2012 0:00,0,0
5/8/2012 0:00,0,0
5/15/2012 0:00,0,0
5/21/2012 0:00,0,0
5/29/2012 0:00,0,0
6/4/2012 0:00,0,0
6/11/2012 0:00,0,0
6/18/2012 0:00,0,0
6/25/2012 0:00,0,0
7/2/2012 0:00,0,0
7/9/2012 0:00,0,0
7/16/2012 0:00,0,0
7/23/2012 0:00,0,0
7/30/2012 0:00,0,0
8/6/2012 0:00,0,0
8/13/2012 0:00,0,0
8/20/2012 0:00,0,0
8/27/2012 0:00,0,0
9/4/2012 0:00,0,0
9/10/2012 0:00,0,0
9/18/2012 0:00,0,0
9/24/2012 0:00,0,0
10/4/2012 0:00,0,0
10/8/2012 0:00,0,0
10/15/2012 0:00,0,0
10/22/2012 0:00,0,0
10/29/2012 0:00,0,0
11/5/2012 0:00,0,0
11/13/2012 0:00,0,0
11/19/2012 0:00,0,0
11/28/2012 0:00,0,0
12/4/2012 0:00,0,0
12/11/2012 0:00,0,0
12/18/2012 0:00,0,0
12/24/2012 0:00,0,0
1/2/2013 0:00,0,0
1/7/2013 0:00,0,0
1/14/2013 0:00,0,0
1/21/2013 0:00,0,0
1/28/2013 0:00,0,0
2/4/2013 0:00,0,0
2/13/2013 0:00,0,0
2/18/2013 0:00,0,0
2/26/2013 0:00,0,0
3/4/2013 0:00,0,0
3/12/2013 0:00,0,0
3/18/2013 0:00,0,0
3/26/2013 0:00,0,0
4/2/2013 0:00,0,0
4/9/2013 0:00,0,0
4/15/2013 0:00,0,0
4/23/2013 0:00,0,0
4/30/2013 0:00,0,0
5/7/2013 0:00,0,0
5/14/2013 0:00,0,0
5/21/2013 0:00,0,0
5/27/2013 0:00,0,0
6/4/2013 0:00,0,0
6/11/2013 0:00,0,0
6/18/2013 0:00,0,0
6/24/2013 0:00,0,0
7/1/2013 0:00,0,0
7/8/2013 0:00,0,0
7/15/2013 0:00,0,0
7/29/2013 0:00,0,0
8/5/2013 0:00,0,0
8/12/2013 0:00,0,0
8/19/2013 0:00,0,0
8/26/2013 0:00,0,0
9/2/2013 0:00,0,0
9/9/2013 0:00,0,0
9/16/2013 0:00,0,0
9/30/2013 0:00,0,0
10/7/2013 0:00,0,0
10/14/2013 0:00,0,0
10/21/2013 0:00,0,0
10/28/2013 0:00,0,0
11/4/2013 0:00,0,0
11/11/2013 0:00,0,0
11/18/2013 0:00,0,0
11/25/2013 0:00,0,0
12/2/2013 0:00,0,0
12/9/2013 0:00,0,0
12/16/2013 0:00,0,0
12/23/2013 0:00,0,0
12/30/2013 0:00,0,0
1/6/2014 0:00,0,0
1/13/2014 0:00,0,0
1/20/2014 0:00,0,0
1/27/2014 0:00,0,0
2/3/2014 0:00,0,0
2/10/2014 0:00,0,0
2/17/2014 0:00,0,0
2/24/2014 0:00,0,0
3/3/2014 0:00,0,0
3/10/2014 0:00,0,0
3/17/2014 0:00,0,0
3/24/2014 0:00,0,0
3/31/2014 0:00,0,0
4/7/2014 0:00,0,0
4/14/2014 0:00,0,0
4/21/2014 0:00,0,0
4/28/2014 0:00,0,0
5/7/2014 0:00,0,0
5/12/2014 0:00,0,0
5/19/2014 0:00,0,0
5/26/2014 0:00,0,0
6/5/2014 0:00,0,0
6/9/2014 0:00,0,0
6/16/2014 0:00,0,0
6/23/2014 0:00,0,0
7/1/2014 0:00,0,0
7/8/2014 0:00,0,0
7/14/2014 0:00,120,120
7/22/2014 0:00,70,80
8/5/2014 0:00,0,0
8/11/2014 0:00,0,0
8/18/2014 0:00,0,0
8/25/2014 0:00,0,0
9/1/2014 0:00,0,0
9/15/2014 0:00,0,0
9/22/2014 0:00,0,0
10/1/2014 0:00,0,0
10/6/2014 0:00,0,0
10/13/2014 0:00,0,0
10/20/2014 0:00,0,0
11/3/2014 0:00,0,0
11/10/2014 0:00,0,0
11/17/2014 0:00,0,0
11/24/2014 0:00,0,0
12/15/2014 0:00,0,0
12/22/2014 0:00,0,0
12/29/2014 0:00,0,0
1/9/2015 0:00,0,0
1/13/2015 0:00,0,0
1/19/2015 0:00,0,0
1/26/2015 0:00,0,0
2/2/2015 0:00,0,0
2/10/2015 0:00,0,0
2/16/2015 0:00,0,0
2/23/2015 0:00,0,0
3/2/2015 0:00,0,0
3/10/2015 0:00,0,0
3/16/2015 0:00,0,0
3/24/2015 0:00,0,0
3/31/2015 0:00,0,0
4/7/2015 0:00,0,0
4/13/2015 0:00,0,0
4/21/2015 0:00,0,0
4/27/2015 0:00,0,0
5/4/2015 0:00,0,0
5/11/2015 0:00,0,0
5/20/2015 0:00,0,0
5/27/2015 0:00,122,244
6/1/2015 0:00,139,166
6/8/2015 0:00,148.5,263
6/15/2015 0:00,419.5,839
6/22/2015 0:00,280.5,323
6/29/2015 0:00,280.5,408
7/6/2015 0:00,301.5,399
7/13/2015 0:00,760.5,816
7/20/2015 0:00,1296,1343
7/27/2015 0:00,1878,1997
8/3/2015 0:00,2839,3451
8/10/2015 0:00,1997,2167
8/17/2015 0:00,1831.5,3060
8/24/2015 0:00,14050,20425
8/31/2015 0:00,3518.5,3867
9/7/2015 0:00,3289.5,3995
9/14/2015 0:00,1313,1683
9/21/2015 0:00,1376,2277
9/30/2015 0:00,764.5,1096
10/5/2015 0:00,836.5,849
10/12/2015 0:00,768.5,1053
10/19/2015 0:00,607,611
10/26/2015 0:00,348,509
11/2/2015 0:00,271.5,543
11/9/2015 0:00,46.5,68
11/16/2015 0:00,0,0
11/23/2015 0:00,12.5,25
11/30/2015 0:00,0,0
12/7/2015 0:00,0,0
12/14/2015 0:00,0,0
12/21/2015 0:00,0,0
12/28/2015 0:00,187,374
1/4/2016 0:00,51,85
1/11/2016 0:00,0,0
1/18/2016 0:00,0,0
1/25/2016 0:00,0,0
2/1/2016 0:00,0,0
2/12/2016 0:00,,
2/15/2016 0:00,0,0
2/22/2016 0:00,0,0
2/29/2016 0:00,0,0
3/7/2016 0:00,0,0
3/14/2016 0:00,0,0
3/21/2016 0:00,0,0
3/28/2016 0:00,0,0
4/4/2016 0:00,0,0
4/11/2016 0:00,0,0
4/18/2016 0:00,0,0
4/25/2016 0:00,0,0
5/2/2016 0:00,0,0
5/11/2016 0:00,0,0
5/16/2016 0:00,0,0
5/23/2016 0:00,0,0
5/30/2016 0:00,121,242
6/7/2016 0:00,72,144
6/13/2016 0:00,695.5,790
6/20/2016 0:00,804.5,884
6/27/2016 0:00,946,977
7/4/2016 0:00,251,259
7/11/2016 0:00,138,168
7/18/2016 0:00,446,892
7/25/2016 0:00,1049,2098
8/1/2016 0:00,510,527
8/8/2016 0:00,2456.5,2958
8/16/2016 0:00,3455,3723
8/22/2016 0:00,2677.5,2856
8/29/2016 0:00,2741,2805
9/5/2016 0:00,977,977
9/6/2016 0:00,935,935
9/12/2016 0:00,833,901
9/19/2016 0:00,382.5,425
9/26/2016 0:00,340,357
10/4/2016 0:00,85,119
10/10/2016 0:00,51,102
10/17/2016 0:00,17,34
10/25/2016 0:00,127.5,255
10/31/2016 0:00,0,0
11/7/2016 0:00,84.5,148
11/14/2016 0:00,0,0
11/22/2016 0:00,0,0
11/28/2016 0:00,0,0
12/5/2016 0:00,0,0
12/12/2016 0:00,0,0
12/20/2016 0:00,0,0
12/27/2016 0:00,0,0
1/3/2017 0:00,0,0
1/9/2017 0:00,0,0
1/16/2017 0:00,0,0
1/23/2017 0:00,0,0
1/31/2017 0:00,0,0
2/6/2017 0:00,0,0
2/13/2017 0:00,0,0
2/20/2017 0:00,0,0
2/27/2017 0:00,0,0
3/6/2017 0:00,0,0
3/13/2017 0:00,0,0
3/20/2017 0:00,0,0
3/27/2017 0:00,0,0
4/3/2017 0:00,0,0
4/10/2017 0:00,0,0
4/17/2017 0:00,0,0
4/24/2017 0:00,0,0
5/2/2017 0:00,0,0
5/8/2017 0:00,0,0
5/15/2017 0:00,0,0
5/22/2017 0:00,0,0
5/30/2017 0:00,0,0
6/9/2017 0:00,51,102
6/12/2017 0:00,85,136
6/19/2017 0:00,161.5,187
6/26/2017 0:00,433.5,697
7/3/2017 0:00,433.5,595
7/10/2017 0:00,782,1139
7/17/2017 0:00,1360,1836
7/24/2017 0:00,5618.5,6222
7/31/2017 0:00,6774.5,9078
8/7/2017 0:00,5210.5,6596
8/16/2017 0:00,,
8/21/2017 0:00,4641,7463
8/28/2017 0:00,7565,8313
9/4/2017 0:00,4233,5389
9/11/2017 0:00,867,884
9/18/2017 0:00,2626.5,3927
9/25/2017 0:00,3179,4097
10/10/2017 0:00,1963.5,2635
10/17/2017 0:00,8228,8364
10/24/2017 0:00,21607,23579
10/30/2017 0:00,30370.5,33609
11/6/2017 0:00,34204,50218
11/8/2017 0:00,30863.5,54230
11/13/2017 0:00,17765,25840
11/16/2017 0:00,24565,24565
11/20/2017 0:00,30770,39831
11/22/2017 0:00,48960,48960
11/27/2017 0:00,36014.5,58463
11/30/2017 0:00,11900,12818
12/4/2017 0:00,11237,14977
12/6/2017 0:00,19643.5,26231
12/11/2017 0:00,8262,8942
12/13/2017 0:00,3332,3978
12/19/2017 0:00,1011.5,1428
12/26/2017 0:00,799,986
1/2/2018 0:00,170,204
1/8/2018 0:00,212.5,238
1/15/2018 0:00,68,136
1/22/2018 0:00,0,0
1/29/2018 0:00,,
2/5/2018 0:00,,
2/12/2018 0:00,,
2/20/2018 0:00,0,0
2/26/2018 0:00,0,0
3/6/2018 0:00,0,0
3/12/2018 0:00,0,0
3/20/2018 0:00,0,0
3/26/2018 0:00,0,0
4/2/2018 0:00,0,0
4/9/2018 0:00,0,0
4/16/2018 0:00,0,0
4/24/2018 0:00,0,0
4/30/2018 0:00,0,0
5/8/2018 0:00,0,0
5/15/2018 0:00,0,0
5/21/2018 0:00,0,0
5/28/2018 0:00,148.5,297
6/5/2018 0:00,0,0
6/11/2018 0:00,416,449
